year_month,upi_volume_lakh,upi_value_crore,era,date,year,month_name,month,upi_volume_crore,upi_value_lakh_cr,avg_txn_value_rs,vol_mom_growth_pct,val_mom_growth_pct,vol_yoy_growth_pct,val_yoy_growth_pct
2016-08,0.93,3.0,Launch (2016),2016-08-01,2016,Aug,,0.009,,322.58,,,,
2016-09,3.1,90.0,Launch (2016),2016-09-01,2016,Sep,,0.031,,2903.23,233.33333333333331,,,
2016-10,4.5,160.0,Launch (2016),2016-10-01,2016,Oct,,0.045,,3555.56,45.16129032258065,,,
2016-11,30.0,1000.0,Launch (2016),2016-11-01,2016,Nov,,0.3,,3333.33,566.6666666666667,,,
2016-12,20.0,700.0,Launch (2016),2016-12-01,2016,Dec,,0.2,,3500.0,-33.333333333333336,,,
2017-01,19.0,650.0,Growth (2017-2019),2017-01-01,2017,Jan,,0.19,,3421.05,-5.000000000000004,,,
2017-02,17.5,580.0,Growth (2017-2019),2017-02-01,2017,Feb,,0.175,,3314.29,-7.8947368421052655,,,
2017-03,21.0,720.0,Growth (2017-2019),2017-03-01,2017,Mar,,0.21,,3428.57,19.999999999999996,,,
2017-04,24.0,830.0,Growth (2017-2019),2017-04-01,2017,Apr,,0.24,,3458.33,14.28571428571428,,,
2017-05,28.0,950.0,Growth (2017-2019),2017-05-01,2017,May,,0.28,,3392.86,16.666666666666675,,,
2017-06,35.0,1200.0,Growth (2017-2019),2017-06-01,2017,Jun,,0.35,,3428.57,25.0,,,
2017-07,45.0,1550.0,Growth (2017-2019),2017-07-01,2017,Jul,,0.45,,3444.44,28.57142857142858,,,
2017-08,68.0,2300.0,Growth (2017-2019),2017-08-01,2017,Aug,,0.68,,3382.35,51.11111111111111,,7211.827956989247,
2017-09,76.0,2600.0,Growth (2017-2019),2017-09-01,2017,Sep,,0.76,,3421.05,11.764705882352944,,2351.6129032258063,
2017-10,105.0,3600.0,Growth (2017-2019),2017-10-01,2017,Oct,,1.05,,3428.57,38.1578947368421,,2233.333333333333,
2017-11,145.0,4900.0,Growth (2017-2019),2017-11-01,2017,Nov,,1.45,,3379.31,38.095238095238095,,383.3333333333333,
2017-12,145.0,4900.0,Growth (2017-2019),2017-12-01,2017,Dec,,1.45,,3379.31,0.0,,625.0,
2018-01,151.7,5325.0,Growth (2017-2019),2018-01-01,2018,Jan,,1.517,,3510.22,4.620689655172416,,698.421052631579,
2018-02,171.0,5000.0,Growth (2017-2019),2018-02-01,2018,Feb,,1.71,,2923.98,12.722478576137132,,877.1428571428572,
2018-03,178.0,5300.0,Growth (2017-2019),2018-03-01,2018,Mar,,1.78,,2977.53,4.093567251461994,,747.6190476190476,
2018-04,190.0,5600.0,Growth (2017-2019),2018-04-01,2018,Apr,,1.9,,2947.37,6.741573033707859,,691.6666666666667,
2018-05,234.0,7000.0,Growth (2017-2019),2018-05-01,2018,May,,2.34,,2991.45,23.15789473684211,,735.7142857142858,
2018-06,246.0,7300.0,Growth (2017-2019),2018-06-01,2018,Jun,,2.46,,2967.48,5.128205128205132,,602.8571428571429,
2018-07,235.0,7000.0,Growth (2017-2019),2018-07-01,2018,Jul,,2.35,,2978.72,-4.471544715447151,,422.22222222222223,
2018-08,312.0,5500.0,Growth (2017-2019),2018-08-01,2018,Aug,,3.12,,1762.82,32.7659574468085,,358.8235294117647,
2018-09,482.0,9000.0,Growth (2017-2019),2018-09-01,2018,Sep,,4.82,,1867.22,54.487179487179496,,534.2105263157895,
2018-10,524.0,9200.0,Growth (2017-2019),2018-10-01,2018,Oct,,5.24,,1755.73,8.713692946058082,,399.04761904761904,
2018-11,524.0,9000.0,Growth (2017-2019),2018-11-01,2018,Nov,,5.24,,1717.56,0.0,,261.3793103448276,
2018-12,620.0,10200.0,Growth (2017-2019),2018-12-01,2018,Dec,,6.2,,1645.16,18.32061068702291,,327.5862068965517,
2019-01,672.0,10800.0,Growth (2017-2019),2019-01-01,2019,Jan,,6.72,,1607.14,8.387096774193559,,342.97956493078453,
2019-02,672.0,10700.0,Growth (2017-2019),2019-02-01,2019,Feb,,6.72,,1592.26,0.0,,292.98245614035085,
2019-03,800.0,13000.0,Growth (2017-2019),2019-03-01,2019,Mar,,8.0,,1625.0,19.047619047619047,,349.43820224719104,
2019-04,782.0,12700.0,Growth (2017-2019),2019-04-01,2019,Apr,,7.82,,1624.04,-2.2499999999999964,,311.57894736842104,
2019-05,762.0,12000.0,Growth (2017-2019),2019-05-01,2019,May,,7.62,,1574.8,-2.5575447570332477,,225.64102564102564,
2019-06,754.0,12000.0,Growth (2017-2019),2019-06-01,2019,Jun,,7.54,,1591.51,-1.049868766404205,,206.5040650406504,
2019-07,919.0,14600.0,Growth (2017-2019),2019-07-01,2019,Jul,,9.19,,1588.68,21.883289124668437,,291.06382978723406,
2019-08,918.0,14600.0,Growth (2017-2019),2019-08-01,2019,Aug,,9.18,,1590.41,-0.10881392818280489,,194.23076923076925,
2019-09,955.0,15300.0,Growth (2017-2019),2019-09-01,2019,Sep,,9.55,,1602.09,4.030501089324612,,98.13278008298755,
2019-10,1024.0,16200.0,Growth (2017-2019),2019-10-01,2019,Oct,,10.24,,1582.03,7.225130890052367,,95.41984732824427,
2019-11,12187.70742,189229.0891084,Growth (2017-2019),2019-11-01,2019,Nov,Nov-2019,121.877,1.8923,1552.62,1090.205802734375,,2225.89836259542,
2019-12,13084.01713,202520.7585663,Growth (2017-2019),2019-12-01,2019,Dec,Dec-2019,130.84,2.0252,1547.85,7.3542109201699235,7.024115330537728,2010.325343548387,
2020-01,13050.19232,216242.974143,Growth (2017-2019),2020-01-01,2020,Jan,Jan-2020,130.502,2.1624,1657.01,-0.2585200681405664,6.775708166334815,1841.9929047619046,
2020-02,13256.93237,222516.95003,Growth (2017-2019),2020-02-01,2020,Feb,Feb-2020,132.569,2.2252,1678.5,1.5841915960361996,2.9013547893820046,1872.757793154762,
2020-03,12468.4455,206462.3070262,Covid Surge (2020-2021),2020-03-01,2020,Mar,Mar-2020,124.684,2.0646,1655.88,-5.947732461729382,-7.215020249754234,1458.5556875,
2020-04,9995.74376,151140.6642718,Covid Surge (2020-2021),2020-04-01,2020,Apr,Apr-2020,99.957,1.5114,1512.05,-19.831676210157877,-26.795032735626517,1178.2281023017902,
2020-05,12344.97198,218391.5954934,Covid Surge (2020-2021),2020-05-01,2020,May,May-2020,123.45,2.1839,1769.07,23.50228533669416,44.49559061131359,1520.0750629921258,
2020-06,13369.30941,261835.0009801,Covid Surge (2020-2021),2020-06-01,2020,Jun,Jun-2020,133.693,2.6184,1958.48,8.297608383879052,19.892434683006343,1673.1179588859416,
2020-07,14973.54,290537.86,Covid Surge (2020-2021),2020-07-01,2020,Jul,Jul-2020,149.735,2.9054,1940.34,11.999352702541731,10.962193332617677,1529.329706202394,
2020-08,16188.28462,298307.60926612,Covid Surge (2020-2021),2020-08-01,2020,Aug,Aug-2020,161.883,2.9831,1842.74,8.112608107368068,2.674263955176115,1663.429697167756,
2020-09,18001.67,329031.84,Covid Surge (2020-2021),2020-09-01,2020,Sep,Sep-2020,180.017,3.2903,1827.79,11.201837764574707,10.299512912012563,1784.991623036649,
2020-10,20716.19,386106.7351691,Covid Surge (2020-2021),2020-10-01,2020,Oct,Oct-2020,207.162,3.8611,1863.79,15.07926764572398,17.3463137090623,1923.0654296874998,
2020-11,22102.28383,390999.18529922,Covid Surge (2020-2021),2020-11-01,2020,Nov,Nov-2020,221.023,3.91,1769.04,6.690872356355104,1.2671237470067045,81.3489860589384,106.62742030916604
2020-12,22341.58091,416176.22447486,Covid Surge (2020-2021),2020-12-01,2020,Dec,Dec-2020,223.416,4.1618,1862.79,1.0826803322252054,6.439153870965941,70.75475129708883,105.49805729599557
2021-01,23027.28,431181.9,Covid Surge (2020-2021),2021-01-01,2021,Jan,Jan-2021,230.273,4.3118,1872.48,3.0691610086244214,3.6056061453473287,76.45165247649008,99.39695229814144
2021-02,22928.94,425062.76,Covid Surge (2020-2021),2021-02-01,2021,Feb,Feb-2021,229.289,4.2506,1853.83,-0.4270586886510275,-1.4191551175965489,72.95811248073825,91.02489043764646
2021-03,27316.85,504886.45,Covid Surge (2020-2021),2021-03-01,2021,Mar,Mar-2021,273.168,5.0489,1848.26,19.13699455796909,18.77927155980448,119.08785662174166,144.5417070419203
2021-04,26410.61,493663.68,Covid Surge (2020-2021),2021-04-01,2021,Apr,Apr-2021,264.106,4.9366,1869.19,-3.317512817180601,-2.222830499808426,164.21855775942782,226.62532110632543
2021-05,25291.82,489105.61,Covid Surge (2020-2021),2021-05-01,2021,May,May-2021,252.918,4.8911,1933.85,-4.236138430729164,-0.9233148365300092,104.8754751406086,123.95807352155236
2021-06,28075.16,547373.16,Mainstream (2022),2021-06-01,2021,Jun,Jun-2021,280.752,5.4737,1949.67,11.004901980165926,11.913081512191216,109.99708465869067,109.0527079844461
2021-07,32455.01925,605883.20220325,Mainstream (2022),2021-07-01,2021,Jul,Jul-2021,324.55,6.0588,1866.84,15.600478323186762,10.689242089117034,116.74914048381346,108.53846799974713
2021-08,35555.45,639116.95,Mainstream (2022),2021-08-01,2021,Aug,Aug-2021,355.554,6.3912,1797.52,9.553008507305073,5.485173986652514,119.63692160485375,114.24761895022404
2021-09,36558.17,654648.28,Mainstream (2022),2021-09-01,2021,Sep,Sep-2021,365.582,6.5465,1790.7,2.8201583723451717,2.430123313111965,103.0821029382274,98.9619849556201
2021-10,42184.32177,771406.98756834,Mainstream (2022),2021-10-01,2021,Oct,Oct-2021,421.843,7.7141,1828.66,15.389588072925985,17.835334046602846,103.62973003240464,99.79112439737506
2021-11,41864.8,768436.0,Mainstream (2022),2021-11-01,2021,Nov,Nov-2021,418.648,7.6844,1835.52,-0.7574419988120584,-0.3851387939465378,89.4139099923051,96.5313557909178
2021-12,45662.99,826848.23,Mainstream (2022),2021-12-01,2021,Dec,Dec-2021,456.63,8.2685,1810.76,9.072514379622,7.601443711642863,104.38567075421878,98.67743070698828
2022-01,46171.56,831993.09,Mainstream (2022),2022-01-01,2022,Jan,Jan-2022,461.716,8.3199,1801.96,1.1137466031024168,0.6222254354949719,100.50809300968244,92.9564042460966
2022-02,45274.89,826843.02,Mainstream (2022),2022-02-01,2022,Feb,Feb-2022,452.749,8.2684,1826.27,-1.9420396451841793,-0.6190039390831847,97.45740535759613,94.52257356066669
2022-03,54056.51,960581.67,Mainstream (2022),2022-03-01,2022,Mar,Mar-2022,540.565,9.6058,1777.0,19.396226031692176,16.17461195959542,97.88705505942306,90.25697164184146
2022-04,55843.88,983573.45,Mainstream (2022),2022-04-01,2022,Apr,Apr-2022,558.439,9.8357,1761.29,3.3064842698872,2.3935268304672075,111.44487007305015,99.23958148997308
2022-05,59462.89,1040220.53,Mainstream (2022),2022-05-01,2022,May,May-2022,594.629,10.4022,1749.36,6.480584801772382,5.759313653698173,135.10720066804208,112.67810238365496
2022-06,58629.08,1014412.62,Mainstream (2022),2022-06-01,2022,Jun,Jun-2022,586.291,10.1441,1730.22,-1.4022359155432818,-2.4810037156255738,108.82901468771684,85.32377802375255
2022-07,62893.4,1063117.04,Mainstream (2022),2022-07-01,2022,Jul,Jul-2022,628.934,10.6312,1690.35,7.273387199662684,4.801243501879937,93.78635863850242,75.46567327399944
2022-08,65819.06,1073162.17,Mainstream (2022),2022-08-01,2022,Aug,Aug-2022,658.191,10.7316,1630.47,4.651775862014129,0.94487526980096,85.11665581507195,67.91327002045557
2022-09,67807.99775,1116438.08995362,Mainstream (2022),2022-09-01,2022,Sep,Sep-2022,678.08,11.1644,1646.47,3.0218264283932372,4.032561076358121,85.47973749780144,70.54013950111042
2022-10,73054.21,1211587.5,Mainstream (2022),2022-10-01,2022,Oct,Oct-2022,730.542,12.1159,1658.48,7.736863532443716,8.522587226519018,73.17858136563329,57.06203333978274
2022-11,73094.4703,1190593.39340752,Mainstream (2022),2022-11-01,2022,Nov,Nov-2022,730.945,11.9059,1628.84,0.05511017092647563,-1.7327767571454933,74.59648750262751,54.937222281038366
2022-12,78288.95,1281970.86,Mainstream (2022),2022-12-01,2022,Dec,Dec-2022,782.89,12.8197,1637.49,7.1065289599615555,7.674951591235923,71.44946049306013,55.04306757722637
2023-01,80385.88,1299058.78,Scale (2023+),2023-01-01,2023,Jan,Jan-2023,803.859,12.9906,1616.03,2.678449512990033,1.3329413743460528,74.10258609412377,56.13816936869031
2023-02,75347.57,1235846.58,Scale (2023+),2023-02-01,2023,Feb,Feb-2023,753.476,12.3585,1640.19,-6.267655463870014,-4.865999981925373,66.42242532229234,49.46568455037572
2023-03,86516.33764,1404950.5944224,Scale (2023+),2023-03-01,2023,Mar,Mar-2023,865.163,14.0495,1623.91,14.822996468233796,13.683253015305509,60.04795285526201,46.26040016174782
2023-04,88632.59542,1415504.71454413,Scale (2023+),2023-04-01,2023,Apr,Apr-2023,886.326,14.155,1597.05,2.44607878434,0.7512093424230981,58.71496647439254,43.91449002045857
2023-05,94151.84588,1489145.4422149,Scale (2023+),2023-05-01,2023,May,May-2023,941.518,14.8915,1581.64,6.227111407317065,5.202436057903648,58.33715091883356,43.15670564730152
2023-06,93350.61489,1475464.26115634,Scale (2023+),2023-06-01,2023,Jun,Jun-2023,933.506,14.7546,1580.56,-0.8509987058790025,-0.918726987352636,59.22237717187442,45.45010896614634
2023-07,99642.55681,1533536.44104629,Scale (2023+),2023-07-01,2023,Jul,Jul-2023,996.426,15.3354,1539.04,6.740118345673607,3.9358581172571623,58.430863667729824,44.24906979633119
2023-08,105860.16335,1576536.53795982,Scale (2023+),2023-08-01,2023,Aug,Aug-2023,1058.602,15.7654,1489.26,6.239910675772631,2.8039827266310047,60.83511880905015,46.905713044266186
2023-09,105556.87,1579133.18,Scale (2023+),2023-09-01,2023,Sep,Sep-2023,1055.569,15.7913,1496.0,-0.2865037615682131,0.1647054779675638,55.67023581668875,41.44386457341325
2023-10,114087.9,1715768.34,Scale (2023+),2023-10-01,2023,Oct,Oct-2023,1140.879,17.1577,1503.9,8.081927779783538,8.652541896434606,56.16882312463578,41.61324213067567
2023-11,112352.92,1739740.61,Scale (2023+),2023-11-01,2023,Nov,Nov-2023,1123.529,17.3974,1548.46,-1.5207397103461417,1.3971740497321417,53.709192417528186,46.123825281845534
2023-12,120202.26,1822949.45,Scale (2023+),2023-12-01,2023,Dec,Dec-2023,1202.023,18.2295,1516.57,6.986324877003636,4.782830240423008,53.536686850443125,42.19897712807605
2024-01,122030.18,1841083.97,Scale (2023+),2024-01-01,2024,Jan,Jan-2024,1220.302,18.4108,1508.71,1.5207035208822273,0.9947900639811992,51.80549121313342,41.72445453161095
2024-02,121026.73,1827869.35,Scale (2023+),2024-02-01,2024,Feb,Feb-2024,1210.267,18.2787,1510.3,-0.8222965826978235,-0.7177630252247491,60.62459612167981,47.90422853296239
2024-03,134400.04,1978353.23,Scale (2023+),2024-03-01,2024,Mar,Mar-2024,1344.0,19.7835,1471.99,11.049881294818098,8.232748144718327,55.34642781487948,40.81301063923433
2024-04,133039.94,1964464.52,Scale (2023+),2024-04-01,2024,Apr,Apr-2024,1330.399,19.6446,1476.6,-1.011978865482488,-0.7020338829987427,50.10272391276433,38.78191289759605
2024-05,140358.43,2044937.05,Scale (2023+),2024-05-01,2024,May,May-2024,1403.584,20.4494,1456.94,5.500972114088443,4.096410455913957,49.07666300976403,37.32285591650712
2024-06,138851.42,2007081.2,Scale (2023+),2024-06-01,2024,Jun,Jun-2024,1388.514,20.0708,1445.49,-1.0736868458844806,-1.851198793625464,48.74183760183695,36.03048564707525
2024-07,144355.54,2064292.41,Scale (2023+),2024-07-01,2024,Jul,Jul-2024,1443.555,20.6429,1430.01,3.964035801722443,2.85046813252996,44.873380031043794,34.60993522863986
2024-08,149630.47,2060735.57,Scale (2023+),2024-08-01,2024,Aug,Aug-2024,1496.305,20.6074,1377.22,3.6541237004135807,-0.1723031089379323,41.34728803061118,30.712832870132974
2024-09,150417.47,2063994.71,Scale (2023+),2024-09-01,2024,Sep,Sep-2024,1504.175,20.6399,1372.18,0.5259623925528034,0.158154207043637,42.498986565251506,30.704283599436486
2024-10,165849.66,2349821.46,Scale (2023+),2024-10-01,2024,Oct,Oct-2024,1658.497,23.4982,1416.84,10.259572907322534,13.848230744738688,45.37006991977239,36.954471371117606
2024-11,154820.21,2155187.41,Scale (2023+),2024-11-01,2024,Nov,Nov-2024,1548.202,21.5519,1392.06,-6.65026988900671,-8.282929291147079,37.798118642577336,23.87981274978688
2024-12,167300.09,2324699.94,Scale (2023+),2024-12-01,2024,Dec,Dec-2024,1673.001,23.247,1389.54,8.06088559109952,7.865326663169392,39.182150152584484,27.524103315097403
2025-01,169960.01,2348037.11,Scale (2023+),2025-01-01,2025,Jan,Jan-2025,1699.6,23.4804,1381.52,1.5899094854043394,1.0038788059675283,39.27702966594002,27.53557948799044
2025-02,161061.93,2196481.7,Scale (2023+),2025-02-01,2025,Feb,Feb-2025,1610.619,21.9648,1363.75,-5.2353962558604366,-6.4545576964922695,33.07963455676279,20.16623069914707
2025-03,183015.08,2477221.59,Scale (2023+),2025-03-01,2025,Mar,Mar-2025,1830.151,24.7722,1353.56,13.630253902955225,12.781344365400347,36.1718939964601,25.21634420158627
2025-04,178934.24,2394925.87,Scale (2023+),2025-04-01,2025,Apr,Apr-2025,1789.342,23.9493,1338.44,-2.229783469209201,-3.3220976408493086,34.49663311634084,21.912401349961776
2025-05,186774.6,2514297.01,Scale (2023+),2025-05-01,2025,May,May-2025,1867.746,25.143,1346.17,4.381699109125248,4.984335485924651,33.06974151819739,22.952293812662816
2025-06,183950.06,2403930.69,Scale (2023+),2025-06-01,2025,Jun,Jun-2025,1839.501,24.0393,1306.84,-1.5122720112906163,-4.389549824903138,32.47978306595638,19.772468099447103
2025-07,194679.48,2508498.1,Scale (2023+),2025-07-01,2025,Jul,Jul-2025,1946.795,25.085,1288.53,5.832789616921041,4.349851284605877,34.86110751274249,21.51854494296184
2025-08,200083.1,2485472.9,Scale (2023+),2025-08-01,2025,Aug,Aug-2025,2000.831,24.8547,1242.22,2.77564949320801,-0.9178878788068556,33.7181524591883,20.61095737770955
2025-09,196334.33,2489736.52,Scale (2023+),2025-09-01,2025,Sep,Sep-2025,1963.343,24.8974,1268.11,-1.8736065164924098,0.1715416007955772,30.526281289001854,20.62707854517709
2025-10,207009.21,2727790.71,Scale (2023+),2025-10-01,2025,Oct,Oct-2025,2070.092,27.2779,1317.71,5.437092942431421,9.561420981204872,24.817385817975147,16.08501992317324
2025-11,204669.79,2631632.64,Scale (2023+),2025-11-01,2025,Nov,Nov-2025,2046.698,26.3163,1285.79,-1.1301043079194328,-3.5251263833213864,32.19836738368977,22.106904846850405
2025-12,216346.68,2796712.71,Scale (2023+),2025-12-01,2025,Dec,Dec-2025,2163.467,27.9671,1292.7,5.705233781692942,6.272914672467356,29.316535334798676,20.304244942682796
2026-01,217034.45,2833481.26,Scale (2023+),2026-01-01,2026,Jan,Jan-2026,2170.344,28.3348,1305.54,0.3179018046405968,1.314706007110744,27.697362456027165,20.674466682513383
2026-02,203941.84,2684229.3,Scale (2023+),2026-02-01,2026,Feb,Feb-2026,2039.418,26.8423,1316.17,-6.032503134870993,-5.26744122528624,26.6232436181536,22.20585766774199
